LOINC Code;LOINC Label                                                                                                              ;Relation;Local Code;Local Label                                                    ;UCUM Unit      ;Unit Conversion        ;Local Unit;Molecular weight (g/mol);OK/Not OK;Comments
38505-4   ;Thyroglobulin recovery in Serum or Plasma                                                                                ;=       ;806       ;Tg-Wiederfindung.Serum .berechnet                              ;%              ;x*1.0                  ;%         ;                        ;         ;
3013-0    ;Thyroglobulin [Mass/volume] in Serum or Plasma                                                                           ;=       ;807       ;Thyreoglobulin.Serum .CLIA                                     ;ng/dL          ;x*100.0                ;µg/l      ;660000                  ;         ;
14918-7   ;Thyroglobulin [Moles/volume] in Serum or Plasma                                                                          ;=       ;807       ;Thyreoglobulin.Serum .CLIA                                     ;pmol/L         ;x*1.5151515151515151   ;µg/l      ;660000                  ;         ;
5385-0    ;Thyrotropin receptor Ab [Units/volume] in Serum                                                                          ;=       ;809       ;TSH-Rezeptor Antikörper (TRAK).Serum .CLIA                     ;[IU]/L         ;x*1.0                  ;IU/l      ;                        ;         ;
26505-8   ;Segmented neutrophils/100 leukocytes in Blood                                                                            ;=       ;1121      ;Segmentkernige relativ.EDTA .                                  ;%              ;x*1.0                  ;%         ;                        ;         ;
56477-3   ;Thyroperoxidase Ab [Units/volume] in Serum or Plasma by Immunoassay                                                      ;=       ;811       ;Thyreoperoxidase-Antikörp.,Roche.Serum .ECLIA                  ;{Index_val}    ;Unknown conversion     ;IU/ml     ;                        ;         ;
2881-1    ;Protein [Mass/volume] in Body fluid                                                                                      ;=       ;10750     ;Protein.Liquor .Turbidimetrie                                  ;g/dL           ;x*1.0E-4               ;mg/l      ;                        ;         ;
29246-6   ;Lactate [Mass/volume] in Body fluid                                                                                      ;=       ;10752     ;Lactat.Liquor .photometrisch                                   ;mg/dL          ;x*9.008000000000001    ;mmol/l    ;90,08                   ;         ;
14165-5   ;Lactate [Moles/volume] in Body fluid                                                                                     ;=       ;10752     ;Lactat.Liquor .photometrisch                                   ;mmol/L         ;x*1.0                  ;mmol/l    ;90,08                   ;         ;
8245-3    ;Zinc [Mass/volume] in Blood                                                                                              ;=       ;936       ;Zink.Li-Heparin .Atomabsorbtion                                ;ug/mL          ;x*0.06538              ;µmol/l    ;65,38                   ;         ;
2344-0    ;Glucose [Mass/volume] in Body fluid                                                                                      ;=       ;10751     ;Glucose.Liquor .Hexokinase                                     ;mg/dL          ;x*1.0                  ;mg/dl     ;180,15588               ;         ;
14745-4   ;Glucose [Moles/volume] in Body fluid                                                                                     ;=       ;10751     ;Glucose.Liquor .Hexokinase                                     ;mmol/L         ;x*0.05550748607261667  ;mg/dl     ;180,15588               ;         ;
12556-7   ;Copper [Mass/volume] in Blood                                                                                            ;=       ;937       ;Kupfer.Li-Heparin .Atomabsorbtion                              ;ug/dL          ;x*6.3546000000000005   ;µmol/l    ;63,546                  ;         ;
47100-3   ;Copper [Moles/volume] in Blood                                                                                           ;=       ;937       ;Kupfer.Li-Heparin .Atomabsorbtion                              ;umol/L         ;x*1.0                  ;µmol/l    ;63,546                  ;         ;
1747-5    ;Albumin [Mass/volume] in Body fluid                                                                                      ;=       ;10754     ;Albumin #.Liquor .photometrisch                                ;g/dL           ;x*1.0E-4               ;mg/l      ;66500                   ;         ;
83085-1   ;Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay                                                      ;=       ;938       ;CEA (Fa.Roche).Serum .ECLIA                                    ;ng/mL          ;x*1.0                  ;µg/l      ;1731,98794              ;         ;
14803-1   ;Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid by Lactate to pyruvate reaction                          ;=       ;10753     ;LDH**.Liquor .photometrisch                                    ;U/L            ;x*1.0                  ;U/l       ;                        ;         ;
2778-9    ;Phosphate [Mass/volume] in Urine                                                                                         ;=       ;10525     ;Phosphat Konzentration.SpUrin(z) .photometrisch                ;mg/dL          ;x*9.49714              ;mmol/l    ;94,9714                 ;         ;
13539-2   ;Phosphate [Moles/volume] in Urine                                                                                        ;=       ;10525     ;Phosphat Konzentration.SpUrin(z) .photometrisch                ;mmol/L         ;x*1.0                  ;mmol/l    ;94,9714                 ;         ;
33951-5   ;Sodium/Creatinine [Molar ratio] in Urine                                                                                 ;=       ;10527     ;Natrium bez. auf Kreatinin.SpUrin(z) .berechnet                ;mol/mol{creat} ;x*1.0                  ;mol/molK  ;                        ;         ;
2161-8    ;Creatinine [Mass/volume] in Urine                                                                                        ;=       ;10526     ;Kreatinin Konzentration.SpUrin(z) .Mod. Jaffe, kinetisch       ;mg/dL          ;x*11.311788            ;mmol/l    ;113,11788               ;         ;
14683-7   ;Creatinine [Moles/volume] in Urine                                                                                       ;=       ;10526     ;Kreatinin Konzentration.SpUrin(z) .Mod. Jaffe, kinetisch       ;mmol/L         ;x*1.0                  ;mmol/l    ;113,11788               ;         ;
26485-3   ;Monocytes/100 leukocytes in Blood                                                                                        ;=       ;1126      ;Monozyten relativ.EDTA .                                       ;%              ;x*1.0                  ;%         ;                        ;         ;
26478-8   ;Lymphocytes/100 leukocytes in Blood                                                                                      ;=       ;1125      ;Lymphozyten relativ.EDTA .                                     ;%              ;x*1.0                  ;%         ;                        ;         ;
30180-4   ;Basophils/100 leukocytes in Blood                                                                                        ;=       ;1124      ;Basophile relativ.EDTA .                                       ;%              ;x*1.0                  ;%         ;                        ;         ;
33949-9   ;Potassium/Creatinine [Molar ratio] in Urine                                                                              ;=       ;10528     ;Kalium bez. auf Kreatinin.SpUrin(z) .berechnet                 ;mol/mol{creat} ;x*1.0                  ;mol/molK  ;                        ;         ;
26450-7   ;Eosinophils/100 leukocytes in Blood                                                                                      ;=       ;1123      ;Eosinophile relativ.EDTA .                                     ;%              ;x*1.0                  ;%         ;                        ;         ;
82477-1   ;Erythrocyte sedimentation rate by Photometric method                                                                     ;=       ;944       ;BSG.EDTA .photometrisch                                        ;mm/h           ;x*1.0                  ;mm/h      ;                        ;         ;
17862-4   ;Calcium [Mass/volume] in Urine                                                                                           ;=       ;10523     ;Calcium Konzentration.SpUrin(z) .photometrisch                 ;mg/dL          ;x*4.0078000000000005   ;mmol/l    ;40,078                  ;         ;
2004-0    ;Calcium [Moles/volume] in Urine                                                                                          ;=       ;10523     ;Calcium Konzentration.SpUrin(z) .photometrisch                 ;mmol/L         ;x*1.0                  ;mmol/l    ;40,078                  ;         ;
4679-7    ;Reticulocytes/100 erythrocytes in Blood                                                                                  ;=       ;1142      ;Reticulozyten relativ.EDTA .                                   ;%              ;x*1.0                  ;%         ;                        ;         ;
1832-5    ;Alpha-1-Fetoprotein [Mass/volume] in Amniotic fluid                                                                      ;>       ;951       ;AFP.Fruchtwasser .ECLIA                                        ;ug/L           ;x*1000.0               ;µg/ml     ;                        ;         ;
15019-3   ;Alpha-1-Fetoprotein [Moles/volume] in Amniotic fluid                                                                     ;>       ;951       ;AFP.Fruchtwasser .ECLIA                                        ;nmol/L         ;x*14.5607              ;µg/ml     ;                        ;         ;
1832-5    ;Alpha-1-Fetoprotein [Mass/volume] in Amniotic fluid                                                                      ;>       ;952       ;AFP.Fruchtwasser .berechnet                                    ;ug/L           ;Unknown conversion     ;MoM       ;                        ;         ;
15019-3   ;Alpha-1-Fetoprotein [Moles/volume] in Amniotic fluid                                                                     ;>       ;952       ;AFP.Fruchtwasser .berechnet                                    ;nmol/L         ;Unknown conversion     ;MoM       ;                        ;         ;
2888-6    ;Protein [Mass/volume] in Urine                                                                                           ;=       ;10619     ;Protein Konzentration.Sammelurin .photometrisch                ;g/dL           ;x*1.0E-4               ;mg/l      ;                        ;         ;
26466-3   ;Leukocytes [#/volume] in Body fluid                                                                                      ;=       ;955       ;Leukozyten.Liquor .                                            ;10*3/uL        ;x*0.001                ;Zell./µl  ;                        ;         ;
1668-3    ;17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma                                                                  ;=       ;956       ;17alpha-Hydroxyprogesteron.Serum .ELISA                        ;ng/dL          ;x*100.0                ;µg/l      ;330,4611                ;         ;
14569-8   ;17-Hydroxyprogesterone [Moles/volume] in Serum or Plasma                                                                 ;=       ;956       ;17alpha-Hydroxyprogesteron.Serum .ELISA                        ;nmol/L         ;x*3.0260747785442828   ;µg/l      ;330,4611                ;         ;
1668-3    ;17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma                                                                  ;~       ;957       ;17a.-OH-Progesteron extrahiert.Serum .ELISA                    ;ng/dL          ;x*100.0                ;µg/l      ;330,4611                ;         ;
14569-8   ;17-Hydroxyprogesterone [Moles/volume] in Serum or Plasma                                                                 ;~       ;957       ;17a.-OH-Progesteron extrahiert.Serum .ELISA                    ;nmol/L         ;x*3.0260747785442828   ;µg/l      ;330,4611                ;         ;
81643-9   ;von Willebrand factor (vWf) ristocetin cofactor/von Willebrand factor (vWf) Ag [Ratio] in Platelet poor plasma           ;=       ;5508      ;von Willebrand:RCo/AG-Quotient.Citrat .berechnet               ;{ratio}        ;Unknown conversion     ;          ;                        ;         ;
77725-0   ;Factor VIII+von Willebrand factor (vWf) ristocetin cofactor given [Units/volume] by vWF dosing                           ;~       ;5509      ;FVIII/von Willebrand:AG-Quotient.Citrat .berechnet             ;[IU]           ;Unknown conversion     ;          ;                        ;         ;
2890-2    ;Protein/Creatinine [Mass Ratio] in Urine                                                                                 ;=       ;10623     ;Protein/g Kreatinin.SpUrin(z) .berechnet                       ;mg/g{creat}    ;x*1000.0               ;g/g Krea  ;                        ;         ;
3013-0    ;Thyroglobulin [Mass/volume] in Serum or Plasma                                                                           ;=       ;960       ;Thyreoglobulin (Roche).Serum .ECLIA                            ;ng/dL          ;x*100.0                ;µg/l      ;660000                  ;         ;
14918-7   ;Thyroglobulin [Moles/volume] in Serum or Plasma                                                                          ;=       ;960       ;Thyreoglobulin (Roche).Serum .ECLIA                            ;pmol/L         ;x*1.5151515151515151   ;µg/l      ;660000                  ;         ;
38505-4   ;Thyroglobulin recovery in Serum or Plasma                                                                                ;=       ;961       ;Tg-Wiederfindung (Roche).Serum .berechnet                      ;%              ;x*1.0                  ;%         ;                        ;         ;
83124-8   ;Triiodothyronine (T3) [Mass/volume] in Serum or Plasma by Immunoassay                                                    ;=       ;841       ;Gesamt T3.Serum .ECLIA                                         ;ng/mL          ;x*0.650977             ;nmol/l    ;650,977                 ;         ;
83125-5   ;Triiodothyronine (T3) [Moles/volume] in Serum or Plasma by Immunoassay                                                   ;=       ;841       ;Gesamt T3.Serum .ECLIA                                         ;nmol/mL        ;x*0.001                ;nmol/l    ;650,977                 ;         ;
46723-3   ;Alpha-1-Microglobulin [Mass/volume] in Urine                                                                             ;=       ;600       ;A1-Mikroglobulin.Sammelurin .Nephelometrie                     ;mg/L           ;x*1.0                  ;mg/l      ;26000                   ;         ;
77163-4   ;Alpha-1-Microglobulin [Moles/volume] in Urine                                                                            ;=       ;600       ;A1-Mikroglobulin.Sammelurin .Nephelometrie                     ;nmol/L         ;x*38.46153846153846    ;mg/l      ;26000                   ;         ;
83127-1   ;Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma by Immunoassay                                               ;=       ;842       ;Freies T3.Serum .ECLIA                                         ;pg/mL          ;x*0.6509734899999999   ;pmol/l    ;650,97349               ;         ;
83126-3   ;Triiodothyronine (T3) Free [Moles/volume] in Serum or Plasma by Immunoassay                                              ;=       ;842       ;Freies T3.Serum .ECLIA                                         ;pmol/L         ;x*1.0                  ;pmol/l    ;650,97349               ;         ;
48414-7   ;Alpha-1-Microglobulin [Mass/time] in 24 hour Urine                                                                       ;=       ;601       ;A1M-Ausscheidung.Sammelurin .berechnet                         ;mg/(24.h)      ;x*1.0                  ;mg/d      ;26000                   ;         ;
83119-8   ;Thyroxine (T4) [Mass/volume] in Serum or Plasma by Immunoassay                                                           ;=       ;843       ;Gesamt T4.Serum .ECLIA                                         ;ug/L           ;x*0.7768740000000001   ;nmol/l    ;776,874                 ;         ;
83120-6   ;Thyroxine (T4) [Moles/volume] in Serum or Plasma by Immunoassay                                                          ;=       ;843       ;Gesamt T4.Serum .ECLIA                                         ;nmol/L         ;x*1.0                  ;nmol/l    ;776,874                 ;         ;
48415-4   ;Alpha-1-Microglobulin/Creatinine [Mass Ratio] in Urine                                                                   ;=       ;602       ;Alpha1Mikroglob. bez. auf Krea..Sammelurin .berechnet          ;mg/g{creat}    ;x*8.8403354            ;g/mol K.  ;                        ;         ;
83122-2   ;Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Immunoassay                                                      ;=       ;844       ;Freies T4.Serum .ECLIA                                         ;pg/mL          ;x*0.7768700199999999   ;pmol/l    ;776,87002               ;         ;
83121-4   ;Thyroxine (T4) free [Moles/volume] in Serum or Plasma by Immunoassay                                                     ;=       ;844       ;Freies T4.Serum .ECLIA                                         ;pmol/L         ;x*1.0                  ;pmol/l    ;776,87002               ;         ;
40604-1   ;Alpha-2-Macroglobulin [Presence] in Urine by Immunoelectrophoresis                                                       ;~       ;603       ;A2-Makroglobulin.Sammelurin .Nephelometrie                     ;               ;                       ;mg/l      ;                        ;         ;
3016-3    ;Thyrotropin [Units/volume] in Serum or Plasma                                                                            ;=       ;845       ;TSH.Serum .ECLIA                                               ;m[IU]/L        ;x*1.0                  ;mIU/l     ;                        ;         ;
83086-9   ;Choriogonadotropin [Units/volume] in Serum or Plasma by Immunoassay                                                      ;~       ;846       ;HCG + ß-HCG (Roche).Serum .ECLIA                               ;m[IU]/mL       ;x*1.0                  ;IU/l      ;                        ;         ;
27365-6   ;Immunoglobulin light chains.kappa [Mass/volume] in Urine                                                                 ;=       ;604       ;Kappa Leichtketten Konzentration.Sammelurin .Nephelometrie     ;mg/dL          ;x*0.1                  ;mg/l      ;                        ;         ;
27394-6   ;Immunoglobulin light chains.lambda [Mass/volume] in Urine                                                                ;=       ;605       ;Lambda Leichtketten Konzentr..Sammelurin .Nephelometrie        ;mg/dL          ;x*0.1                  ;mg/l      ;                        ;         ;
83096-8   ;Estradiol (E2) [Mass/volume] in Serum or Plasma by Immunoassay                                                           ;=       ;847       ;Oestradiol.Serum .ECLIA                                        ;pg/mL          ;x*1.0                  ;ng/l      ;272,38196               ;         ;
83097-6   ;Estradiol (E2) [Moles/volume] in Serum or Plasma by Immunoassay                                                          ;=       ;847       ;Oestradiol.Serum .ECLIA                                        ;pmol/L         ;x*3.6713150900301916   ;ng/l      ;272,38196               ;         ;
28660-9   ;Plasminogen actual/normal in Platelet poor plasma by Chromogenic method                                                  ;=       ;5503      ;Plasminogen.Citrat .chromogen                                  ;%              ;x*1.0                  ;%         ;                        ;         ;
83098-4   ;Follitropin [Units/volume] in Serum or Plasma by Immunoassay                                                             ;~       ;848       ;Follikel stim. Hormon (FSH).Serum .ECLIA                       ;[IU]/mL        ;x*0.001                ;IU/l      ;                        ;         ;
33559-6   ;Immunoglobulin light chains.kappa/Immunoglobulin light chains.lambda [Mass Ratio] in Urine                               ;~       ;606       ;Kappa/Lambda-Quotient.Sammelurin .berechnet                    ;{ratio}        ;x*1.0                  ;          ;                        ;         ;
33559-6   ;Immunoglobulin light chains.kappa/Immunoglobulin light chains.lambda [Mass Ratio] in Urine                               ;=       ;10620     ;Protein Ausscheidung.Sammelurin .berechnet                     ;{ratio}        ;Unknown conversion     ;mg/d      ;                        ;         ;
5971-7    ;Plasminogen activator tissue type Ag [Mass/volume] in Platelet poor plasma by Immunoassay                                ;=       ;5504      ;Tissue Plasminogen Aktivator.Citrat .ELISA                     ;ug/L           ;x*1.0                  ;ng/ml     ;                        ;         ;
27810-1   ;Plasmin inhibitor actual/normal in Platelet poor plasma by Chromogenic method                                            ;=       ;5505      ;Alpha 2 Antiplasmin.Citrat .chromogen                          ;%              ;x*1.0                  ;%         ;                        ;         ;
83103-2   ;Lutropin [Units/volume] in Serum or Plasma by Immunoassay                                                                ;=       ;849       ;Luteinisierendes Hormon (LH).Serum .ECLIA                      ;[IU]/mL        ;x*0.001                ;IU/l      ;                        ;         ;
34366-5   ;Protein/Creatinine [Ratio] in Urine                                                                                      ;=       ;10622     ;Protein/mol Kreatinin.SpUrin(z) .berechnet                     ;g/mmol{creat}  ;x*0.001                ;g/mol K.  ;                        ;         ;
50377-1   ;von Willebrand factor (vWf).collagen binding activity actual/normal in Platelet poor plasma by Immunoassay               ;=       ;5506      ;VWF Kollagenbindungsaktivität.Citrat .ELISA                    ;%              ;x*1.0                  ;%         ;                        ;         ;
34366-5   ;Protein/Creatinine [Ratio] in Urine                                                                                      ;=       ;10621     ;Proteinkonz. bez. auf Kreatinin.Sammelurin .berechnet          ;g/mmol{creat}  ;x*0.001                ;g/mol K.  ;                        ;         ;
81643-9   ;von Willebrand factor (vWf) ristocetin cofactor/von Willebrand factor (vWf) Ag [Ratio] in Platelet poor plasma           ;=       ;5507      ;von Willebrand:CB/AG-Quotient.Citrat .berechnet                ;{ratio}        ;Unknown conversion     ;          ;                        ;         ;
46267-1   ;Proteinase 3 Ab [Units/volume] in Serum by Immunoassay                                                                   ;=       ;5400      ;c-ANCA (PR3).Serum .FEIA                                       ;[arb'U]/mL     ;x*1.0                  ;IU/ml     ;                        ;         ;
30391-7   ;Erythrocytes [#/volume] in Urine                                                                                         ;=       ;971       ;Erythrozyten.Spontanurin .optisch, Lasertechnol.               ;/uL            ;x*1.0                  ;Zell./µl  ;                        ;         ;
83109-9   ;Progesterone [Mass/volume] in Serum or Plasma by Immunoassay                                                             ;=       ;850       ;Progesteron.Serum .ECLIA                                       ;ng/mL          ;x*1.0                  ;µg/l      ;314,4617                ;         ;
83110-7   ;Progesterone [Moles/volume] in Serum or Plasma by Immunoassay                                                            ;=       ;850       ;Progesteron.Serum .ECLIA                                       ;nmol/L         ;x*3.180037505362338    ;µg/l      ;314,4617                ;         ;
30405-5   ;Leukocytes [#/volume] in Urine                                                                                           ;=       ;972       ;Leukozyten.Spontanurin .optisch, Lasertechnol.                 ;/uL            ;x*1.0                  ;Zell./µl  ;                        ;         ;
51480-2   ;Bacteria [#/volume] in Urine by Automated count                                                                          ;=       ;973       ;Bakterien.Spontanurin .optisch, Lasertechnol.                  ;/uL            ;x*1.0                  ;Zell./µl  ;                        ;         ;
2200-4    ;Delta aminolevulinate [Mass/time] in 24 hour Urine                                                                       ;=       ;610       ;DeltaAminolävulinsäure Aussch..Sammelurin .berechnet           ;mg/(24.h)      ;x*0.13112986           ;µmol/d    ;                        ;         ;
14689-4   ;Delta aminolevulinate [Moles/time] in 24 hour Urine                                                                      ;=       ;610       ;DeltaAminolävulinsäure Aussch..Sammelurin .berechnet           ;umol/(24.h)    ;x*1.0                  ;µmol/d    ;                        ;         ;
51483-6   ;Casts [#/volume] in Urine by Automated count                                                                             ;=       ;974       ;Zylinder.Spontanurin .optisch, Lasertechnol.                   ;/uL            ;x*1.0                  ;Anz./µl   ;                        ;         ;
40396-4   ;Porphyrins [Moles/time] in 24 hour Urine                                                                                 ;=       ;612       ;Porphyrine gesamt Ausscheidung.Sammelurin .berechnet           ;nmol/(24.h)    ;x*3.22214817           ;µg/d      ;310,35196               ;         ;
10885-2   ;Porphyrins [Mass/time] in 24 hour Urine                                                                                  ;=       ;612       ;Porphyrine gesamt Ausscheidung.Sammelurin .berechnet           ;ug/(24.h)      ;x*1.0                  ;µg/d      ;                        ;         ;
83088-5   ;Cortisol [Mass/volume] in Serum or Plasma by Immunoassay                                                                 ;=       ;855       ;Cortisol.Serum .ECLIA                                          ;ng/mL          ;x*10.0                 ;µg/dl     ;362,4599                ;         ;
83090-1   ;Cortisol [Moles/volume] in Serum or Plasma by Immunoassay                                                                ;=       ;855       ;Cortisol.Serum .ECLIA                                          ;nmol/L         ;x*27.58925883939161    ;µg/dl     ;362,4599                ;         ;
51482-8   ;Crystals [#/volume] in Urine by Automated count                                                                          ;=       ;976       ;Kristalle.Spontanurin .optisch, Lasertechnol.                  ;/uL            ;x*1.0                  ;Anz./µl   ;                        ;         ;
2191-5    ;Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma                                                 ;=       ;856       ;Dehydroepiandrosteron-Sulfat.Serum .ECLIA                      ;ug/dL          ;x*1.0                  ;µg/dl     ;368,48762               ;         ;
14688-6   ;Dehydroepiandrosterone sulfate (DHEA-S) [Moles/volume] in Serum or Plasma                                                ;=       ;856       ;Dehydroepiandrosteron-Sulfat.Serum .ECLIA                      ;umol/L         ;x*0.027137953779831192 ;µg/dl     ;368,48762               ;         ;
5978-2    ;Plasminogen activator inhibitor 2 [Units/volume] in Platelet poor plasma by Chromogenic method                           ;~       ;5512      ;PAI.Citrat .chromogen                                          ;               ;Unknown conversion     ;U/ml      ;                        ;         ;
2810-0    ;Porphobilinogen [Mass/time] in 24 hour Urine                                                                             ;=       ;614       ;Porphobilinogen Ausscheidung.Sammelurin .berechnet             ;mg/(24.h)      ;x*0.22622916           ;µmol/d    ;                        ;         ;
14882-5   ;Porphobilinogen [Moles/time] in 24 hour Urine                                                                            ;=       ;614       ;Porphobilinogen Ausscheidung.Sammelurin .berechnet             ;umol/(24.h)    ;x*1.0                  ;µmol/d    ;                        ;         ;
51485-1   ;Epithelial cells.non-squamous [#/volume] in Urine by Automated count                                                     ;=       ;977       ;Rundepithelien.Spontanurin .optisch, Lasertechnol.             ;/uL            ;x*1.0                  ;Zell./µl  ;                        ;         ;
78741-6   ;Pathologic casts [#/volume] in Urine by Automated count                                                                  ;=       ;978       ;pathologische Zylinder.Spontanurin .optisch, Lasertechnol.     ;/uL            ;x*1.0                  ;Anz./µl   ;                        ;         ;
25742-8   ;Prothrombin Fragment 1.2 [Moles/volume] in Serum or Plasma                                                               ;=       ;5513      ;Prothrombinfragment F 1+2.Citrat .                             ;nmol/L         ;x*1.0                  ;nmol/l    ;                        ;         ;
2942-1    ;Sex hormone binding globulin [Mass/volume] in Serum or Plasma                                                            ;=       ;857       ;Sex Hormone-binding Globulin.Serum .ECLIA                      ;ug/dL          ;x*8.6                  ;nmol/l    ;86000                   ;         ;
13967-5   ;Sex hormone binding globulin [Moles/volume] in Serum or Plasma                                                           ;=       ;857       ;Sex Hormone-binding Globulin.Serum .ECLIA                      ;nmol/L         ;x*1.0                  ;nmol/l    ;86000                   ;         ;
1834-1    ;Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma                                                                     ;=       ;858       ;Alpha-Fetoprotein (Fa.Roche).Serum .ECLIA                      ;ng/mL          ;x*1.0                  ;µg/l      ;68678                   ;         ;
19177-5   ;Alpha-1-Fetoprotein [Moles/volume] in Serum or Plasma                                                                    ;=       ;858       ;Alpha-Fetoprotein (Fa.Roche).Serum .ECLIA                      ;umol/L         ;x*1.4560703573196658E-5;µg/l      ;68678                   ;         ;
51481-0   ;Yeast [#/volume] in Urine by Automated count                                                                             ;=       ;979       ;Hefezellen.Spontanurin .optisch, Lasertechnol.                 ;/uL            ;x*1.0                  ;Anz./µl   ;                        ;         ;
83083-6   ;Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay                                                          ;=       ;859       ;CA 15-3 (Fa.Roche).Serum .ECLIA                                ;U/mL           ;x*1.0                  ;IU/ml     ;                        ;         ;
56549-9   ;Sjogrens syndrome-A extractable nuclear 52kD Ab [Units/volume] in Serum by Immunoassay                                   ;~       ;5410      ;SSA-RO-AK (60/52 kDa).Serum .FEIA                              ;               ;Unknown conversion     ;U/ml      ;                        ;         ;
45142-7   ;Sjogrens syndrome-B extractable nuclear Ab [Units/volume] in Serum by Immunoassay                                        ;=       ;5411      ;SSB-LA-AK.Serum .FEIA                                          ;               ;Unknown conversion     ;U/ml      ;                        ;         ;
82938-2   ;Smith extractable nuclear D IgG Ab [Units/volume] in Serum                                                               ;=       ;5409      ;SM-AK (SmD-AK).Serum .FEIA                                     ;[IU]/mL        ;x*1.0                  ;U/ml      ;                        ;         ;
51479-4   ;Spermatozoa [#/volume] in Urine by Automated count                                                                       ;=       ;980       ;Spermien.Spontanurin .optisch, Lasertechnol.                   ;/uL            ;x*1.0                  ;Anz./µl   ;                        ;         ;
83084-4   ;Cancer Ag 19-9 [Units/volume] in Serum or Plasma by Immunoassay                                                          ;=       ;860       ;CA 19-9 (Fa.Roche).Serum .ECLIA                                ;U/mL           ;x*1.0                  ;IU/ml     ;                        ;         ;
